operon	start	end	strand	N_genes	left	right	color	type
10	17953	20247	+	1	17953	20247	lightblue	region
100	191139	192146	+	1	191139	192146	lightblue	region
1000	2092265	2092456	+	1	2092265	2092456	lightblue	region
1001	2092557	2096450	-	1	2092557	2096450	lightblue	region
1002	2096760	2098352	+	1	2096760	2098352	lightblue	region
1004	2098708	2099235	-	1	2098708	2099235	lightblue	region
1005	2099358	2100917	-	1	2099358	2100917	lightblue	region
1006	2103628	2101727	-	3	2101727	2103628	lightblue	region
1007	2104237	2104680	+	1	2104237	2104680	lightblue	region
1008	2108300	2105928	-	3	2105928	2108300	lightblue	region
1009	2109048	2112244	+	3	2109048	2112244	lightblue	region
101	192318	192869	+	1	192318	192869	lightblue	region
1010	2112630	2112627	-	2	2112627	2112630	lightblue	region
1011	2113248	2113733	+	1	2113248	2113733	lightblue	region
1012	2114530	2116355	+	2	2114530	2116355	lightblue	region
1013	2116783	2120316	+	2	2116783	2120316	lightblue	region
1014	2120381	2121331	+	1	2120381	2121331	lightblue	region
1016	2122126	2123805	-	1	2122126	2123805	lightblue	region
1017	2124027	2124710	+	1	2124027	2124710	lightblue	region
1018	2124778	2126394	-	1	2124778	2126394	lightblue	region
1019	2126650	2126973	+	1	2126650	2126973	lightblue	region
102	193006	194960	+	2	193006	194960	lightblue	region
1020	2127136	2127870	-	1	2127136	2127870	lightblue	region
1021	2127984	2128382	-	1	2127984	2128382	lightblue	region
1022	2132940	2129669	-	6	2129669	2132940	lightblue	region
1023	2134272	2139120	+	4	2134272	2139120	lightblue	region
1024	2139191	2141585	+	2	2139191	2141585	lightblue	region
1026	2142057	2142386	-	1	2142057	2142386	lightblue	region
1027	2142535	2143443	-	1	2142535	2143443	lightblue	region
1028	2143547	2144809	+	1	2143547	2144809	lightblue	region
1029	2145176	2146726	+	1	2145176	2146726	lightblue	region
103	195064	196571	+	2	195064	196571	lightblue	region
1030	2146806	2148788	-	1	2146806	2148788	lightblue	region
1031	2153717	2149926	-	6	2149926	2153717	lightblue	region
1032	2154872	2156188	+	1	2154872	2156188	lightblue	region
1033	2156200	2156979	-	1	2156200	2156979	lightblue	region
1034	2157156	2159985	+	2	2157156	2159985	lightblue	region
1035	2160087	2160968	-	1	2160087	2160968	lightblue	region
1036	2161280	2161873	-	1	2161280	2161873	lightblue	region
1037	2165683	2163766	-	3	2163766	2165683	lightblue	region
1038	2167354	2168694	+	1	2167354	2168694	lightblue	region
1039	2168675	2168908	-	1	2168675	2168908	lightblue	region
104	196658	198040	-	1	196658	198040	lightblue	region
1040	2176082	2170098	-	7	2170098	2176082	lightblue	region
1041	2186628	2178599	-	12	2178599	2186628	lightblue	region
1042	2187541	2188344	+	1	2187541	2188344	lightblue	region
1043	2193155	2189460	-	5	2189460	2193155	lightblue	region
1044	2194503	2194952	+	1	2194503	2194952	lightblue	region
1045	2196529	2196418	-	2	2196418	2196529	lightblue	region
1046	2198750	2199655	-	1	2198750	2199655	lightblue	region
1047	2199877	2200482	+	1	2199877	2200482	lightblue	region
1048	2200817	2201581	+	1	2200817	2201581	lightblue	region
1049	2201784	2202560	+	1	2201784	2202560	lightblue	region
105	198158	198931	-	1	198158	198931	lightblue	region
1050	2205845	2203331	-	4	2203331	2205845	lightblue	region
1051	2208239	2211827	+	2	2208239	2211827	lightblue	region
1052	2214192	2212863	-	3	2212863	2214192	lightblue	region
1053	2215117	2216031	+	1	2215117	2216031	lightblue	region
1054	2216183	2217840	+	2	2216183	2217840	lightblue	region
1055	2218607	2218597	-	2	2218597	2218607	lightblue	region
